t,x,y,z,roll,pitch,yaw
1.183568000793457031e+00,-5.852487099564551883e-03,1.917372813187143699e-01,5.666457948435171810e-01,-1.764425693932590491e+02,9.905138394043997430e-01,3.914471686919026583e-01
1.201461315155029297e+00,-5.852487099564551883e-03,1.917372813187143699e-01,5.666457948435171810e-01,-1.764425693932590491e+02,9.905138394043997430e-01,3.914471686919026583e-01
1.219864368438720703e+00,-5.852487099564551883e-03,1.917372813187143699e-01,5.666457948435171810e-01,-1.764425693932590491e+02,9.905138394043997430e-01,3.914471686919026583e-01
1.238513946533203125e+00,-6.181403319864262058e-03,1.917368085654018728e-01,5.666493238111516284e-01,-1.764423948423913941e+02,1.034429641312595960e+00,3.928137883869699531e-01
1.258196830749511719e+00,-5.852487099564551883e-03,1.917372813187143699e-01,5.666457948435171810e-01,-1.764425693932590491e+02,9.905138394043997430e-01,3.914471686919026583e-01
1.278125524520874023e+00,-5.852487099564551883e-03,1.917372813187143699e-01,5.666457948435171810e-01,-1.764425693932590491e+02,9.905138394043997430e-01,3.914471686919026583e-01
1.297281026840209961e+00,-5.921563407132548508e-03,1.917368085568748604e-01,5.666470023908881659e-01,-1.764425455527438089e+02,1.012450822552031893e+00,3.928111772158203729e-01
1.316851854324340820e+00,-5.852487099564551883e-03,1.917372813187143699e-01,5.666457948435171810e-01,-1.764425693932590491e+02,9.905138394043997430e-01,3.914471686919026583e-01
1.332042932510375977e+00,-6.020077205946166785e-03,1.917394353362785742e-01,5.666461374669319317e-01,-1.764421357543334068e+02,1.012483857461206949e+00,3.919253878519695089e-01
1.352249383926391602e+00,-5.852487099564551883e-03,1.917372813187143699e-01,5.666457948435171810e-01,-1.764425693932590491e+02,9.905138394043997430e-01,3.914471686919026583e-01
1.371823072433471680e+00,-5.852650862135445539e-03,1.914774452322942910e-01,5.666375076222531781e-01,-1.764645472111183722e+02,9.906639846714301312e-01,3.915014079699741245e-01
1.387891292572021484e+00,-5.849782131935736193e-03,1.917342012705051668e-01,5.666456746391885790e-01,-1.764430003809447669e+02,9.909928954060530648e-01,3.694697748011481209e-01
1.408545732498168945e+00,-5.918753064968532845e-03,1.917387980587312579e-01,5.666470738610029922e-01,-1.764423147105571275e+02,1.012917013263699761e+00,3.708420785206669734e-01
1.428446054458618164e+00,-6.181403319864262058e-03,1.917368085654018728e-01,5.666493238111516284e-01,-1.764423948423913941e+02,1.034429641312595960e+00,3.928137883869699531e-01
1.447519779205322266e+00,-6.112327480607535404e-03,1.917372813271440712e-01,5.666480897653856097e-01,-1.764424192072566200e+02,1.012492661746127398e+00,3.914497130042786655e-01
1.460819244384765625e+00,-5.921563407132548508e-03,1.917368085568748604e-01,5.666470023908881659e-01,-1.764425455527438089e+02,1.012450822552031893e+00,3.928111772158203729e-01
1.479915857315063477e+00,-5.921563407132548508e-03,1.917368085568748604e-01,5.666470023908881659e-01,-1.764425455527438089e+02,1.012450822552031893e+00,3.928111772158203729e-01
1.499970674514770508e+00,-5.921563407132548508e-03,1.917368085568748604e-01,5.666470023908881659e-01,-1.764425455527438089e+02,1.012450822552031893e+00,3.928111772158203729e-01
1.519128799438476562e+00,-5.852487099564551883e-03,1.917372813187143699e-01,5.666457948435171810e-01,-1.764425693932590491e+02,9.905138394043997430e-01,3.914471686919026583e-01
1.539967536926269531e+00,-5.849676591032911682e-03,1.917392443342766373e-01,5.666458657515718311e-01,-1.764423385637181525e+02,9.909800356107862918e-01,3.694779814084659941e-01
1.558760881423950195e+00,-5.852487099564551883e-03,1.917372813187143699e-01,5.666457948435171810e-01,-1.764425693932590491e+02,9.905138394043997430e-01,3.914471686919026583e-01
1.578399181365966797e+00,-5.921563407132548508e-03,1.917368085568748604e-01,5.666470023908881659e-01,-1.764425455527438089e+02,1.012450822552031893e+00,3.928111772158203729e-01
1.592725038528442383e+00,-5.921563407132548508e-03,1.917368085568748604e-01,5.666470023908881659e-01,-1.764425455527438089e+02,1.012450822552031893e+00,3.928111772158203729e-01
1.611419677734375000e+00,-5.921563407132548508e-03,1.917368085568748604e-01,5.666470023908881659e-01,-1.764425455527438089e+02,1.012450822552031893e+00,3.928111772158203729e-01
1.632660388946533203e+00,-5.921727166120523481e-03,1.914769724101583193e-01,5.666387153509593322e-01,-1.764645235141432806e+02,1.012601489340532179e+00,3.928570004390180004e-01
1.644841432571411133e+00,-6.112327480607535404e-03,1.917372813271440712e-01,5.666480897653856097e-01,-1.764424192072566200e+02,1.012492661746127398e+00,3.914497130042786655e-01
1.666777133941650391e+00,-6.181403319864262058e-03,1.917368085654018728e-01,5.666493238111516284e-01,-1.764423948423913941e+02,1.034429641312595960e+00,3.928137883869699531e-01
1.684419393539428711e+00,-5.921563407132548508e-03,1.917368085568748604e-01,5.666470023908881659e-01,-1.764425455527438089e+02,1.012450822552031893e+00,3.928111772158203729e-01
1.704545021057128906e+00,-5.852650862135445539e-03,1.914774452322942910e-01,5.666375076222531781e-01,-1.764645472111183722e+02,9.906639846714301312e-01,3.915014079699741245e-01
1.723408222198486328e+00,-5.852650862135445539e-03,1.914774452322942910e-01,5.666375076222531781e-01,-1.764645472111183722e+02,9.906639846714301312e-01,3.915014079699741245e-01
1.742746114730834961e+00,-5.852487099564551883e-03,1.917372813187143699e-01,5.666457948435171810e-01,-1.764425693932590491e+02,9.905138394043997430e-01,3.914471686919026583e-01
1.759765148162841797e+00,-5.921727166120523481e-03,1.914769724101583193e-01,5.666387153509593322e-01,-1.764645235141432806e+02,1.012601489340532179e+00,3.928570004390180004e-01
1.778691053390502930e+00,-5.852487099564551883e-03,1.917372813187143699e-01,5.666457948435171810e-01,-1.764425693932590491e+02,9.905138394043997430e-01,3.914471686919026583e-01
1.799897670745849609e+00,-6.089153041464847975e-03,1.917389620009956885e-01,5.666473715020791113e-01,-1.764421113877391463e+02,1.034420830280127435e+00,3.932895717748801090e-01
1.818053722381591797e+00,-5.852884077626139062e-03,1.918062080783997092e-01,5.666500926359774315e-01,-1.764205880111587135e+02,9.904757975884308507e-01,3.920572821620873505e-01
1.837262630462646484e+00,-6.112327480607535404e-03,1.917372813271440712e-01,5.666480897653856097e-01,-1.764424192072566200e+02,1.012492661746127398e+00,3.914497130042786655e-01
1.851248741149902344e+00,-5.852487099564551883e-03,1.917372813187143699e-01,5.666457948435171810e-01,-1.764425693932590491e+02,9.905138394043997430e-01,3.914471686919026583e-01
1.870957851409912109e+00,-5.921563407132548508e-03,1.917368085568748604e-01,5.666470023908881659e-01,-1.764425455527438089e+02,1.012450822552031893e+00,3.928111772158203729e-01
1.891261577606201172e+00,-5.921563407132548508e-03,1.917368085568748604e-01,5.666470023908881659e-01,-1.764425455527438089e+02,1.012450822552031893e+00,3.928111772158203729e-01
1.906446456909179688e+00,-5.921563407132548508e-03,1.917368085568748604e-01,5.666470023908881659e-01,-1.764425455527438089e+02,1.012450822552031893e+00,3.928111772158203729e-01
1.925915241241455078e+00,-5.921563407132548508e-03,1.917368085568748604e-01,5.666470023908881659e-01,-1.764425455527438089e+02,1.012450822552031893e+00,3.928111772158203729e-01
1.945338010787963867e+00,-6.112327480607535404e-03,1.917372813271440712e-01,5.666480897653856097e-01,-1.764424192072566200e+02,1.012492661746127398e+00,3.914497130042786655e-01
1.964973926544189453e+00,-5.852487099564551883e-03,1.917372813187143699e-01,5.666457948435171810e-01,-1.764425693932590491e+02,9.905138394043997430e-01,3.914471686919026583e-01
1.980436325073242188e+00,-5.852487099564551883e-03,1.917372813187143699e-01,5.666457948435171810e-01,-1.764425693932590491e+02,9.905138394043997430e-01,3.914471686919026583e-01
1.999947309494018555e+00,-5.852487099564551883e-03,1.917372813187143699e-01,5.666457948435171810e-01,-1.764425693932590491e+02,9.905138394043997430e-01,3.914471686919026583e-01
2.014434814453125000e+00,-6.181570258212278762e-03,1.914769724186855537e-01,5.666410368346526116e-01,-1.764643727862029152e+02,1.034580307980574654e+00,3.928596123206092861e-01
2.033352136611938477e+00,-6.181403319864262058e-03,1.917368085654018728e-01,5.666493238111516284e-01,-1.764423948423913941e+02,1.034429641312595960e+00,3.928137883869699531e-01
2.046800613403320312e+00,-6.112327480607535404e-03,1.917372813271440712e-01,5.666480897653856097e-01,-1.764424192072566200e+02,1.012492661746127398e+00,3.914497130042786655e-01
2.063399314880371094e+00,-6.181570258212278762e-03,1.914769724186855537e-01,5.666410368346526116e-01,-1.764643727862029152e+02,1.034580307980574654e+00,3.928596123206092861e-01
2.082853078842163086e+00,-6.181403319864262058e-03,1.917368085654018728e-01,5.666493238111516284e-01,-1.764423948423913941e+02,1.034429641312595960e+00,3.928137883869699531e-01
2.102592229843139648e+00,-5.852487099564551883e-03,1.917372813187143699e-01,5.666457948435171810e-01,-1.764425693932590491e+02,9.905138394043997430e-01,3.914471686919026583e-01
2.122053146362304688e+00,-6.112327480607535404e-03,1.917372813271440712e-01,5.666480897653856097e-01,-1.764424192072566200e+02,1.012492661746127398e+00,3.914497130042786655e-01
2.142629861831665039e+00,-5.852650862135445539e-03,1.914774452322942910e-01,5.666375076222531781e-01,-1.764645472111183722e+02,9.906639846714301312e-01,3.915014079699741245e-01
2.156645298004150391e+00,-5.921727166120523481e-03,1.914769724101583193e-01,5.666387153509593322e-01,-1.764645235141432806e+02,1.012601489340532179e+00,3.928570004390180004e-01
2.177625894546508789e+00,-5.852487099564551883e-03,1.917372813187143699e-01,5.666457948435171810e-01,-1.764425693932590491e+02,9.905138394043997430e-01,3.914471686919026583e-01
2.195473432540893555e+00,-6.181966115694407723e-03,1.915459000779981547e-01,5.666453082971145694e-01,-1.764423910186993396e+02,1.034541976928349483e+00,3.934781619741404834e-01
2.215818166732788086e+00,-5.921563407132548508e-03,1.917368085568748604e-01,5.666470023908881659e-01,-1.764425455527438089e+02,1.012450822552031893e+00,3.928111772158203729e-01
2.235216379165649414e+00,-6.181570258212278762e-03,1.914769724186855537e-01,5.666410368346526116e-01,-1.764643727862029152e+02,1.034580307980574654e+00,3.928596123206092861e-01
2.254226207733154297e+00,-5.852487099564551883e-03,1.917372813187143699e-01,5.666457948435171810e-01,-1.764425693932590491e+02,9.905138394043997430e-01,3.914471686919026583e-01
2.277627229690551758e+00,-5.921563407132548508e-03,1.917368085568748604e-01,5.666470023908881659e-01,-1.764425455527438089e+02,1.012450822552031893e+00,3.928111772158203729e-01
2.293308973312377930e+00,-5.922124662253879304e-03,1.915459000694703651e-01,5.666429866612513466e-01,-1.764425419839523101e+02,1.012563159916540778e+00,3.934755459541554590e-01
2.313099145889282227e+00,-5.852487099564551883e-03,1.917372813187143699e-01,5.666457948435171810e-01,-1.764425693932590491e+02,9.905138394043997430e-01,3.914471686919026583e-01
2.337208747863769531e+00,-5.921563407132548508e-03,1.917368085568748604e-01,5.666470023908881659e-01,-1.764425455527438089e+02,1.012450822552031893e+00,3.928111772158203729e-01
2.353940248489379883e+00,-6.181798644867864470e-03,1.918057345844500217e-01,5.666536217093983696e-01,-1.764204130767822392e+02,1.034391073033980479e+00,3.934323232598932463e-01
2.371598720550537109e+00,-6.348992800267050027e-03,1.917389620097588732e-01,5.666497572116702131e-01,-1.764419604927875014e+02,1.056399647781680384e+00,3.932922440943229514e-01
2.385085821151733398e+00,-6.181403319864262058e-03,1.917368085654018728e-01,5.666493238111516284e-01,-1.764423948423913941e+02,1.034429641312595960e+00,3.928137883869699531e-01
2.405783176422119141e+00,-5.921960380928493160e-03,1.918057345759224264e-01,5.666513001371673575e-01,-1.764205640244415747e+02,1.012412255901421254e+00,3.934297079516885787e-01
2.418979167938232422e+00,-5.921563407132548508e-03,1.917368085568748604e-01,5.666470023908881659e-01,-1.764425455527438089e+02,1.012450822552031893e+00,3.928111772158203729e-01
2.438470602035522461e+00,-5.852487099564551883e-03,1.917372813187143699e-01,5.666457948435171810e-01,-1.764425693932590491e+02,9.905138394043997430e-01,3.914471686919026583e-01
2.459469556808471680e+00,-5.921563407132548508e-03,1.917368085568748604e-01,5.666470023908881659e-01,-1.764425455527438089e+02,1.012450822552031893e+00,3.928111772158203729e-01
2.476354360580444336e+00,-5.852487099564551883e-03,1.917372813187143699e-01,5.666457948435171810e-01,-1.764425693932590491e+02,9.905138394043997430e-01,3.914471686919026583e-01
2.496200799942016602e+00,-5.852487099564551883e-03,1.917372813187143699e-01,5.666457948435171810e-01,-1.764425693932590491e+02,9.905138394043997430e-01,3.914471686919026583e-01
2.515323162078857422e+00,-5.921563407132548508e-03,1.917368085568748604e-01,5.666470023908881659e-01,-1.764425455527438089e+02,1.012450822552031893e+00,3.928111772158203729e-01
2.529639959335327148e+00,-5.852487099564551883e-03,1.917372813187143699e-01,5.666457948435171810e-01,-1.764425693932590491e+02,9.905138394043997430e-01,3.914471686919026583e-01
